지표유형,성별,거리,학년,백분위구간,표본N,향상폭_p25(초),향상폭_p50(초),향상폭_p75(초),평균향상폭(초),예측단계,향상속도_AUC(%),백분위_AUC(%),예측력차이(AUC%p),신뢰한계문구
구간비교,남,2000,,10~30%,25,-8.381,6.105,21.192,7.398,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
구간비교,남,2000,,30~50%,41,-6.762,10.065,35.659,13.645,,,,,
구간비교,남,2000,,50% 이하,32,-14.653,-2.255,15.909,0.372,,,,,
구간비교,남,3000,,상위 10%,13,-19.093,6.484,48.478,13.628,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
구간비교,남,3000,,10~30%,38,-27.695,1.514,36.341,6.306,,,,,
구간비교,남,3000,,30~50%,30,-9.405,8.439,38.746,11.56,,,,,
구간비교,남,3000,,50% 이하,56,-40.192,13.761,39.159,1.599,,,,,
구간비교,여,500,,상위 10%,81,-0.044,0.388,0.844,0.625,,,,,
구간비교,여,500,,10~50%,455,-0.126,0.543,1.448,0.898,,,,,
구간비교,여,500,,50% 이하,202,-0.216,0.852,2.304,0.989,,,,,
구간비교,여,1000,,상위 10%,92,-1.86,0.763,3.186,1.083,,,,,
구간비교,여,1000,,10~50%,479,-1.3,1.309,4.765,1.745,,,,,
구간비교,여,1000,,50% 이하,241,-1.388,1.781,5.68,2.281,,,,,
구간비교,여,1500,,상위 10%,42,-6.651,2.331,11.623,2.694,,,,,
구간비교,여,1500,,10~50%,213,-4.881,3.766,12.834,3.809,,,,,
구간비교,여,1500,,50% 이하,78,-9.829,5.385,13.781,2.953,,,,,
구간비교,여,2000,,상위 10%,3,0.466,23.861,25.449,9.323,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
구간비교,여,2000,,10~50%,27,4.199,15.966,26.456,12.263,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
구간비교,여,2000,,50% 이하,18,-24.805,7.111,19.842,2.291,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
구간비교,여,3000,,상위 10%,8,-3.776,37.144,44.512,21.565,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
구간비교,여,3000,,10~50%,53,-40.296,5.659,71.009,11.984,,,,,
